symbol,date
GOOS.TO,2023-06-30
BMWYY,2023-06-30
AMBP,2023-06-30
ROIV,2023-06-30
TLSNY,2023-06-30
8480.TW,2022-09-30
NKRKY,2023-03-31
SAHOL.IS,2023-06-30
HENOY,2019-12-31
SWDBY,2023-06-30
KMI,2023-06-30
M8G.DE,2023-06-30
NVZMY,2023-06-30
ICE,2023-06-30
XRO.AX,2020-09-30
CLPBY,2023-06-30
DU.AE,2023-06-30
ORKLY,2023-06-30
PRD.L,2019-06-30
PRFX,2023-06-30
SFTBY,2023-06-30
PGDC.V,2022-09-30
DRTS,2022-12-31
DNKEY,2023-06-30
PD.TO,2023-06-30
BLDP,2023-06-30
WTW,2023-06-30
WBA,2023-05-31
TSEM,2023-06-30
ALFVY,2023-06-30
NHYDY,2023-06-30
NIND.KW,2023-06-30
NAT,2023-06-30
CLBT,2023-06-30
SDVKY,2023-06-30
SIG,2023-07-29
RBW.L,2020-09-30
EVGN,2023-06-30
NAOV,2023-06-30
MAXN,2023-06-30
NA.TO,2023-07-31
CPB,2023-07-30
AKBTY,2023-06-30
SMU.SN,2023-03-31
SRAD,2023-06-30
PLTK,2023-06-30
SEDG,2023-06-30
QNBK.QA,2023-06-30
SST.AX,2019-06-30
KNOP,2023-06-30
CS.ST,2023-06-30
CGEN,2022-12-31
SKC.AX,2020-09-30
BRQS,2021-12-31
GLOG-PA,2023-06-30
BMR,2022-12-31
STGO.TO,2023-06-30
VBLT,2023-06-30
DELHY,2017-06-30
INVZ,2023-06-30
KFH.KW,2023-06-30
PRTH,2023-06-30
AGESY,2016-12-31
XP,2023-06-30
AI,2023-07-31
IMPP,2023-06-30
TKGBY,2023-06-30
PUTKY,2023-06-30
RYR.V,2023-03-31
FVRR,2023-06-30
PETB.L,2023-06-30
LWLG,2023-06-30
TELNY,2023-06-30
PLUR,2023-06-30
VLVLY,2023-06-30
SQ,2023-06-30
LOW,2023-08-04
ACGL,2023-06-30
SO,2023-06-30
ON,2023-06-30
BAYRY,2023-03-31
NOVA.IC,2023-06-30
WMT,2023-07-31
DAL,2023-06-30
IFRX,2023-06-30
HSBK.IL,2023-03-31
BLX,2023-06-30
BDWBY,2019-06-30
ERF.TO,2023-06-30
TD,2023-07-31
SIMINN.IC,2023-03-31
RAI.L,2019-06-30
GISS.QA,2023-06-30
DOHI.QA,2023-03-31
INMD,2023-06-30
AFISH.OL,2022-12-31
6015.SR,2023-06-30
MSA.TO,2023-06-30
OLGERD.IC,2023-05-31
SPOT,2023-06-30
KMDA,2023-06-30
EDRY,2023-06-30
EKTAY,2023-07-31
NPOF.ME,2018-06-30
LEK.L,2019-06-30
BGTG.JK,2023-06-30
CRNT,2023-06-30
ANFIF,2018-03-31
GDNGY,2023-03-31
900140.KS,2023-03-31
IDHC.L,2023-06-30
NTCT,2023-06-30
BAC,2023-06-30
1180.SR,2023-06-30
2280.SR,2023-06-30
TROW,2023-06-30
EPOKY,2023-06-30
DM,2023-06-30
OTLK,2023-06-30
HEPS,2023-06-30
ZIM,2023-06-30
ENKAI.IS,2023-06-30
REPYY,2023-06-30
ANYYY,2023-06-30
SENX.L,2023-06-30
ANIOY,2023-06-30
SIEGY,2023-06-30
PAGS,2023-06-30
QIIK.QA,2023-06-30
SPNS,2023-06-30
KSL.AX,2019-06-30
BUR,2023-06-30
ENLAY,2023-06-30
PTON,2023-06-30
MYNZ,2023-06-30
SCMWY,2023-06-30
KNYJY,2023-06-30
ANSGR.IS,2023-06-30
SHG.L,2019-06-30
SGML,2023-06-30
AGMH,2021-12-31
DASTY,2023-03-31
EVO,2022-12-31
ARVL,2022-12-31
QRC.TO,2023-05-31
IMTE,2022-12-31
ACROUD.ST,2023-06-30
MAREL.IC,2023-06-30
OGC.TO,2023-06-30
GOGL,2023-06-30
0422.HK,2016-12-31
MDXH,2023-06-30
TCAP.L,2019-06-30
CTM.ST,2023-06-30
IAM.SN,2023-03-31
RC2.L,2019-06-30
GPH.L,2019-06-30
CIBEY,2023-06-30
0N4Y.IL,2016-09-30
UMEWF,2017-09-30
MPHC.QA,2023-06-30
DEWA.JK,2023-03-31
MAT,2023-06-30
NHTC,2023-06-30
NEOG,2023-05-31
MELI,2023-06-30
WIX,2023-06-30
NYCB,2023-06-30
DTEGY,2023-06-30
AN,2023-06-30
STVN,2023-06-30
CHS,2023-07-29
UAA,2023-06-30
MARA,2023-06-30
ARASE.IS,2022-03-31
HENKY,2019-12-31
IFC.TO,2023-06-30
GAMB,2023-06-30
SGHC,2022-06-30
RDWR,2023-06-30
TNP,2023-03-31
MKKGY,2023-06-30
LNVGY,2023-06-30
EFGD.IL,2023-06-30
DNNGY,2023-06-30
VHT.AX,2020-09-30
RDEIY,2023-06-30
ZAM.L,2019-06-30
ENTX,2023-06-30
MRVI,2023-06-30
AIA.AX,2020-09-30
SMMNY,2023-06-30
ENLT,2023-06-30
0A0L.IL,2023-07-31
NLSP,2021-12-31
PGY,2023-06-30
MNDY,2023-06-30
MIGI,2023-06-30
888.L,2019-06-30
CSCO,2023-07-29
WY,2023-06-30
T,2023-06-30
FLOT.ME,2021-12-31
HTCR,2023-06-30
WBD,2023-06-30
GNNDY,2023-06-30
AGRO,2023-06-30
SMWB,2023-06-30
SPCB,2022-12-31
SHEL,2023-06-30
TARO,2023-06-30
CHNR,2021-12-31
NBGIF,2023-06-30
MU,2023-06-01
ADDYY,2023-06-30
HRUM.JK,2023-06-30
GPRK,2023-06-30
ACIU,2023-06-30
ABCL,2023-06-30
CIM-PD,2023-06-30
TLTZY,2023-06-30
4260.SR,2023-06-30
CPRO.JK,2023-06-30
AKO-B,2023-06-30
ICCM,2023-06-30
MIL.L,2020-09-30
JCSE,2022-11-30
YCA.L,2022-12-31
GLBE,2023-06-30
TOPS,2020-06-30
AMKBY,2023-06-30
MNDO,2023-06-30
CELJF,2023-06-30
APCA,2023-06-30
BLP.L,2015-09-30
TBIRD.AS,2019-06-30
NTOIY,2023-06-30
GB,2023-06-30
LIDR,2023-06-30
PTBRY,2023-06-30
PGEJF,2023-06-30
CLVT,2023-06-30
BHMG.L,2019-06-30
CEE.TO,2018-12-31
MEZ.AX,2020-09-30
RWLK,2023-06-30
CHX,2023-06-30
UPMMY,2023-06-30
ICL,2023-06-30
CMCL,2023-06-30
USB,2023-06-30
DLNG,2023-06-30
RY.TO,2023-07-31
SRL,2019-12-31
TJX,2023-07-29
TAOP,2022-12-31
LSCC,2023-07-01
4010.SR,2023-06-30
PNC,2023-06-30
SM,2023-06-30
TRST.L,2019-09-30
LTE.JO,2021-06-30
KSPI.IL,2023-06-30
LSXMK,2023-06-30
TEL,2023-06-30
TUPRS.IS,2023-06-30
MATH,2020-09-30
ADCT,2023-06-30
ROSB.ME,2021-09-30
HVPE.L,2020-09-30
UELKY,2023-03-31
TSLA,2023-06-30
BBAR,2023-03-31
KMD.AX,2020-09-30
ELTK,2023-06-30
UPP.AE,2023-06-30
LBTYA,2023-06-30
3008.SR,2023-03-31
CAMT,2023-02-16
NEXA,2023-06-30
2282.HK,2019-06-30
SCTC,2023-06-30
CPA,2023-06-30
LBRT,2023-06-30
IREN,2022-06-30
INE.TO,2023-06-30
KRR.TO,2023-06-30
0K9W.IL,2023-06-30
BROG,2019-12-31
ERES.QA,2023-06-30
1183.HK,2019-06-30
ECN.TO,2023-06-30
NCRA,2023-06-30
0GWB.IL,2023-06-30
VIS.IC,2023-06-30
GTX,2023-06-30
ATAI,2023-06-30
AHI,2023-06-30
KIDZ.V,2023-03-31
OEC,2023-06-30
BNS.TO,2023-07-31
OSSR.CO,2023-06-30
MRVL,2023-07-29
QGTS.QA,2023-06-30
DB,2020-06-30
HYMTF,2023-06-30
RCKT,2023-06-30
BRIM.IC,2023-06-30
LOGI,2023-06-30
AUOTY,2023-06-30
IGEX,2017-10-31
FRHC,2023-03-31
UNCRY,2011-12-31
OPK,2023-06-30
BEP,2023-06-30
ESLT,2023-06-30
SAP.TO,2023-06-30
TRMB,2023-06-30
7204.SR,2023-03-31
MAR,2023-06-30
6060.SR,2023-06-30
KONYA.IS,2013-12-31
ASELS.IS,2023-06-30
ASAZY,2023-06-30
PIFMY,2023-03-31
MURGY,2018-12-31
FOJCY,2023-06-30
QEWS.QA,2023-06-30
ARS.L,2016-12-31
ITRN,2023-06-30
6004.SR,2023-06-30
YARIY,2023-06-30
D7G.F,2023-06-30
PBCRY,2023-06-30
REITIR.IC,2023-03-31
CRGO,2023-06-30
CVHSY,2023-06-30
1211.SR,2023-06-30
AMTD,2022-12-31
CSTE,2023-06-30
SILC,2021-12-31
LEDS,2023-05-31
GENTF,2023-06-30
EWBC,2023-06-30
AAZ.L,2019-06-30
EXK,2023-06-30
IINN,2022-12-31
SMCAY,2011-03-31
SSUN.F,2023-06-30
KHOTF,2023-03-31
DBOEY,2015-12-31
DESP,2023-06-30
USEA,2023-06-30
M8G.ST,2023-03-31
ALAR,2018-06-30
NET,2023-06-30
GCTK,2023-06-30
DFM.AE,2023-06-30
HAGA.IC,2023-05-31
BORR,2023-06-30
LICY,2023-06-30
ELEZY,2023-06-30
SHIP,2023-06-30
ICEAIR.IC,2023-06-30
ASTERDM.NS,2020-09-30
SVRE,2022-12-31
LGRDY,2023-06-30
2080.SR,2023-06-30
ZGN,2022-12-31
BN,2023-06-30
BNOX,2023-06-30
ARION-SDB.ST,2023-06-30
2190.SR,2023-06-30
OLLI,2023-07-29
GFAI,2021-12-31
GEM.L,2019-06-30
MHGVY,2023-06-30
600988.SS,2023-06-30
GNE.AX,2020-09-30
GWCS.QA,2023-06-30
DUFRY,2019-12-31
PSNY,2023-06-30
CSTM,2023-06-30
SYIEY,2016-12-31
BOUYY,2023-06-30
ALIZY,2015-12-31
GRRR,2022-12-31
AKHI.QA,2023-03-31
ERF,2023-06-30
CEVA,2023-06-30
SGML.V,2023-06-30
LNTH,2023-06-30
0486.HK,2019-12-31
1020.SR,2023-06-30
CL,2023-06-30
AWIN,2023-03-31
IFNNY,2023-06-30
CWVLF,2023-03-31
NKTR,2023-06-30
FLEX,2023-06-30
GRMN,2023-07-01
INOD,2023-06-30
NVNXF,2023-03-31
MEGL,2022-12-31
GGR,2023-06-30
KBCSY,2023-06-30
RBA,2023-06-30
D,2023-06-30
GLNG,2023-06-30
SWVL,2022-09-30
PRME,2023-06-30
PFC.L,2019-06-30
WVE,2023-06-30
HKXCY,2015-06-30
CPNG,2023-06-30
MISB.ME,2019-12-31
0O7A.IL,2023-06-30
AFMD,2023-06-30
NVMI,2023-06-30
CHYHY,2023-05-31
G,2023-06-30
FRO,2023-06-30
GMBL,2023-03-31
CLPS,2022-12-31
PPERY,2023-06-30
TDCX,2023-06-30
QFBQ.QA,2023-06-30
BASFY,2023-06-30
SEPL.L,2023-06-30
COPEC.SN,2022-12-31
KLR,2023-06-30
HKD,2021-04-30
INDO,2021-12-31
0A0H.IL,2023-06-30
TOMDF,2022-09-30
GLOB,2022-09-30
RVSN,2023-06-30
FBU.AX,2001-06-30
1341.TW,2023-06-30
MRDS.QA,2013-12-31
SKBSY,2023-06-30
CHEK,2023-06-30
DSDVY,2023-06-30
UBER,2023-06-30
0QDX.IL,2023-06-30
IMTX,2023-06-30
MOB,2022-12-31
NGMS,2023-06-30
TEAM,2023-06-30
AKCCF,2023-06-30
ANDAU,2021-06-30
ARMX.AE,2023-06-30
LILM,2021-12-31
WAVE,2022-06-30
NGEX.V,2023-06-30
BOIVF,2017-06-30
PTAIY,2023-06-30
0FS8.L,2023-06-30
RACE,2023-06-30
AFRI,2022-03-31
LILAK,2023-06-30
EONGY,2023-06-30
EFN.TO,2023-06-30
RTGZ.ME,2019-12-31
TAVHY,2023-06-30
DHBK.QA,2023-06-30
BKRKY,2023-03-31
GRAB,2023-06-30
CAAP,2023-06-30
DIB.AE,2023-06-30
SBLK,2023-06-30
WSC,2023-06-30
SYN.IC,2023-06-30
TOL,2023-07-31
MS,2023-06-30
TLRY,2023-05-31
SVN.IC,2023-06-30
VRDR,2023-03-31
FPH.AX,2020-09-30
INXDF,2023-03-31
TIO,2023-03-31
HSQVY,2023-06-30
PPBT,2023-06-15
GMS,2023-07-31
OXUS,2023-06-30
THQQF,2023-03-31
THUPY,2023-06-30
SHW,2023-06-30
IGM.TO,2023-06-30
OTMO,2023-06-30
CGNT,2023-04-30
2090.SR,2023-06-30
MX,2023-06-30
CAP.SN,2022-12-31
ELUXY,2023-06-30
GNTX,2023-06-30
RIG,2023-06-30
KIND-SDB.ST,2023-06-30
AVHOQ,2021-09-30
PPCB,2023-03-31
RWEOY,2023-06-30
ASPS,2023-06-30
BHC,2023-06-30
PERI,2023-06-30
GRFX,2021-12-31
ESTA,2023-06-30
MBLY,2023-07-01
ISB.IC,2023-06-30
CRM.BA,2023-04-30
INCR,2023-03-31
REE,2022-12-31
BBM.CN,2023-06-30
VONOY,2023-06-30
EIK.IC,2023-06-30
KRFG,2023-06-30
SASA.IS,2023-06-30
IBDRY,2013-06-30
BRNE,2015-03-31
ASPIRE.ST,2022-03-31
YNDX,2023-06-30
VFQS.QA,2023-06-30
QIGD.QA,2022-12-31
IOBT,2023-06-30
BYFM.CN,2023-04-30
GMS.L,2019-06-30
GMDA,2023-06-30
CRSP,2023-06-30
QFLS.QA,2022-12-31
BIOX,2023-03-31
OCS,2022-12-31
SAXPY,2023-06-30
GASS,2023-06-30
GE,2023-06-30
SEOAY,2023-06-30
AMZN,2023-06-30
NPK.TO,2023-06-30
UDCD.QA,2023-06-30
ARCO,2023-06-30
SSREY,2016-12-31
MURGF,2018-12-31
FTNT,2023-06-30
GILT,2023-06-30
2310.SR,2023-06-30
NVCR,2023-06-30
TRP.TO,2023-06-30
RGC,2022-06-30
000426.SZ,2023-06-30
FESTI.IC,2023-06-30
KRNT,2023-06-30
WBX,2023-03-01
GLOP-PB,2023-03-31
SIIS.QA,2012-12-31
GJNSY,2023-06-30
NCLTY,2012-02-29
2010.SR,2023-06-30
LYFT,2023-06-30
TKIM.JK,2023-06-30
SNT,2008-06-30
VMW,2023-08-04
8012.SR,2023-06-30
4071.SR,2023-06-30
ACBA,2023-06-30
GCHOY,2023-06-30
POAHY,2023-06-30
NRSDY,2023-06-30
LIQT,2023-06-30
DDI,2023-06-30
AZUL,2023-06-30
WDS,2022-12-31
ONON,2023-06-30
PERF,2022-12-31
BVNKF,2023-06-30
SOPH,2023-06-30
HDELY,2019-12-31
OCG,2021-12-31
WRTBY,2023-06-30
TIG.AX,2019-06-30
TKAT,2023-06-30
CSSV,2016-06-30
PTXKY,2023-06-30
RDCM,2022-12-31
GIGM,2020-09-30
VLN,2023-06-30
TIGO,2023-06-30
SLGL,2022-12-31
CHTR,2023-06-30
ENELAM.SN,2023-06-30
NKE,2023-05-31
CRM,2023-07-31
BOREF,2022-03-31
CYBR,2023-06-30
1832.SR,2023-06-30
2448.HK,2019-06-30
GSM,2023-06-30
BKR,2023-06-30
ALVO,2023-06-30
AIZ.AX,2020-09-30
GOFPY,2022-09-30
EVO.AX,2020-09-30
ALC,2022-12-31
CVAC,2023-06-30
ALLT,2023-06-30
ATLCY,2023-06-30
4013.SR,2023-06-30
BTWN,2023-06-30
8250.SR,2023-06-30
EVVTY,2023-06-30
FTS.TO,2023-06-30
BANC,2023-06-30
VAL,2023-06-30
AG,2023-06-30
BOSC,2022-12-31
IESFY,2023-06-30
BRL.AX,2020-09-30
GLMD,2023-06-30
DIC.AE,2023-06-30
AGBA,2023-06-30
NU,2023-06-30
SHIP.L,2020-09-30
HCMLY,2017-12-31
CTTAY,2023-06-30
REGINN.IC,2023-03-31
AMADY,2023-06-30
0975.HK,2019-09-30
ALIMO.PA,2012-09-30
BSX,2023-06-30
WKME,2023-06-30
BDRFY,2015-12-31
ASAI,2023-06-30
GCP.L,2019-06-30
VWAGY,2023-06-30
MLTX,2023-06-30
JOG.L,2019-06-30
GTK.AX,2019-06-30
CCCP,2023-03-31
IDEXY,2022-12-31
HIHO,2020-12-31
VWSYF,2023-06-30
BYNO,2023-06-30
FALABELLA.SN,2023-06-30
AY,2023-06-30
NVT,2023-06-30
DAC,2023-06-30
ILAG,2022-12-31
QIBK.QA,2023-06-30
SPNT,2023-06-30
SJOVA.IC,2023-06-30
PXS,2023-06-30
KVIKA.IC,2023-03-31
DLO,2023-06-30
FNV.TO,2023-06-30
HOEGF,2023-03-31
KMTUY,2023-06-30
PHXM,2019-12-31
GXU.V,2023-06-30
YRSB.ME,2021-06-30
PAAS,2023-06-30
BABY.TO,2023-06-30
BOC.AX,2019-06-30
DNN,2023-06-30
CB,2023-06-30
AMD,2023-07-01
KLIC,2023-07-01
AXS,2023-06-30
KAMBI.ST,2023-06-30
CCEP,2023-03-31
STN.TO,2023-06-30
MBGYY,2022-12-31
TEZNY,2023-06-30
RSKD,2023-06-30
BDNNY,2023-06-30
TGLS,2023-06-30
SKX,2023-06-30
SMPL,2023-05-27
BREE.L,2019-06-30
1214.SR,2023-06-30
KHNGF,2023-06-30
0ZQ.F,2023-03-31
ALMER.PA,2019-06-30
FCSS.L,2020-09-30
AMCR,2023-06-30
SPRC,2021-12-31
ATM.L,2020-09-30
BVIC.JK,2023-06-30
SATX,2023-03-31
IONR,2023-03-31
WIZZ.L,2023-03-31
EURN,2023-06-30
NRDBY,2023-06-30
SRE.L,2020-09-30
JTC.L,2019-06-30
PLAY.IC,2023-06-30
2223.SR,2023-03-31
0OFP.IL,2023-06-30
ODD,2023-06-30
OP,2023-06-30
GNGBY,2023-06-30
DNBBY,2023-06-30
CZMWY,2023-03-31
STAR.L,2019-06-30
SUBCY,2023-06-30
FTCH,2023-06-30
2266.HK,2019-06-30
MLEC,2023-03-31
BIP-UN.TO,2023-06-30
1320.SR,2023-06-30
FDUS,2023-06-30
IMCC,2023-06-30
